target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
search_heldout_carry_displacement_v0,carry_displacement,True,False,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 0, 'local_hits': 0, 'misses': 84, 'shared_hits': 0}",ce40155cca366eff83ac8b6c47c8bacfaa3ac4ddda3dd83ab99d8c8767d8e63e,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_heldout_support_arrival_v0,support_arrival_relation,True,False,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 56, 'local_hits': 0, 'misses': 28, 'shared_hits': 56}",3791688723d23342754fb659df6f72f39f6e6b0e8d506bb63a6da6e1d41fef58,support_arrival_relation,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_carry_progression_v0,carry_progression,False,False,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 84, 'local_hits': 0, 'misses': 0, 'shared_hits': 84}",47df4bcc7440932fdb6769c636c7902cd69590b4997729b7a74cc4609188ceed,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_direct_pressure_candidate_v0,direct_pressure_candidate,False,False,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 28, 'local_hits': 0, 'misses': 28, 'shared_hits': 28}",58984e5d0cacf923620f0bda2a2b94a1de93eafef26f6ff489d7a549177ed34d,pressure_on_carrier,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_post_regain_retention_v0,post_regain_retention,False,False,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 0, 'local_hits': 0, 'misses': 56, 'shared_hits': 0}",782e3299eb8e63641d28c31de9f0aca1215d6ae9a587972ae51f691f85767b21,outcome_window,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_heldout_shape_expansion_v0,shape_expansion_episode,True,True,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,40,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 28, 'local_hits': 0, 'misses': 84, 'shared_hits': 28}",a846a132e22bcbef438e585a32f88c91fd85806ca44aaa40bd3f78704036a592,change_across_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_carry_out_of_pressure_v0,carry_out_of_pressure,False,True,max_depth=4.max_branching=6,supported,compiler_reachable,compiler_reachable,,2,False,0,"{'bypassed': 0, 'disabled': 0, 'hits': 112, 'local_hits': 28, 'misses': 168, 'shared_hits': 84}",60dc348e1fd65cee8d533be555b003a3ce0df7807584ef525c3f8db5454e0776,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
search_penetration_support_response_v0,penetration_support_response,False,False,max_depth=4.max_branching=6,supported,handwired,not_compiler_reachable,missing_constraint,0,False,,,,,Target requires composition constraints the search cannot yet enforce.
search_expected_pass_completion_v0,expected_pass_completion,False,False,max_depth=4.max_branching=6,missing_modality,handwired,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
