target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
sclnl0_001_a_v0,sclnl0_001,True,True,max_depth=4.max_branching=6,supported,scl_nl0_sample,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 70, 'local_hits': 14, 'shared_hits': 56, 'misses': 0, 'disabled': 0, 'bypassed': 0}",50bf22c8951b7d1e3b2ce703dfe3b1715ed657c0b6922006c11e2f132b867dae,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
sclnl0_001_b_v0,sclnl0_001,True,True,max_depth=4.max_branching=6,supported,scl_nl0_sample,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 70, 'local_hits': 14, 'shared_hits': 56, 'misses': 0, 'disabled': 0, 'bypassed': 0}",753e35c1d6ccf6ccf0502895fa06f4fa404676d9d6ae79621dddde39a2aefdc4,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
sclnl0_002_a_v0,sclnl0_002,True,True,max_depth=4.max_branching=6,supported,scl_nl0_sample,compiler_reachable,,0,True,0,"{'enabled': True, 'hits': 70, 'local_hits': 14, 'shared_hits': 56, 'misses': 0, 'disabled': 0, 'bypassed': 0}",0b70c9f28441edec3c4069dd70245f689b868a8ba643bbabfe2e87d3812ed97d,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
sclnl0_002_b_v0,sclnl0_002,True,True,max_depth=4.max_branching=6,supported,scl_nl0_sample,compiler_reachable,,0,True,0,"{'enabled': True, 'hits': 70, 'local_hits': 14, 'shared_hits': 56, 'misses': 0, 'disabled': 0, 'bypassed': 0}",fc174b5d28db7e67092258c82cedcc59baf820dbe4f4d73c6f973d21deb2e2c6,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
sclnl0_003_a_v0,sclnl0_003,False,False,max_depth=4.max_branching=6,missing_modality,scl_nl0_sample,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
sclnl0_005_a_v0,sclnl0_005,False,False,max_depth=4.max_branching=6,partial_with_typed_gap,scl_nl0_sample,not_compiler_reachable,missing_primitive,0,False,,,,,No catalog provider exposes one or more required target fields.
